epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,233.207,0.77791,0.45482,0.00442,0.90752,0.89913,0.91527,0.6735,1.00929,0.49066,0.007,0.000660045,0.000660045,0.000660045
43,238.543,0.76725,0.44927,0.00418,0.91207,0.88085,0.90687,0.68,0.96729,0.48039,0.00664,0.000649046,0.000649046,0.000649046
44,243.843,0.7868,0.45941,0.00433,0.9377,0.88499,0.91211,0.68203,0.97644,0.48396,0.00662,0.000638047,0.000638047,0.000638047
45,249.195,0.77451,0.41932,0.00433,0.94583,0.90746,0.91276,0.67268,0.98797,0.439,0.00686,0.000627048,0.000627048,0.000627048
46,254.826,0.77097,0.40137,0.00422,0.93353,0.89596,0.91509,0.69182,0.91888,0.44541,0.0062,0.000616049,0.000616049,0.000616049
47,260.139,0.71041,0.39011,0.00387,0.92893,0.92813,0.91466,0.67663,1.00323,0.46183,0.00692,0.000605051,0.000605051,0.000605051
48,265.342,0.72686,0.40761,0.00414,0.95093,0.85314,0.914,0.68223,0.97211,0.48226,0.00671,0.000594052,0.000594052,0.000594052
49,270.692,0.74606,0.40532,0.00416,0.88536,0.94545,0.91025,0.66315,1.0162,0.48808,0.00716,0.000583053,0.000583053,0.000583053
50,275.971,0.74762,0.39635,0.00419,0.9324,0.89844,0.90922,0.67989,0.9701,0.50677,0.00658,0.000572054,0.000572054,0.000572054
51,281.359,0.75561,0.38888,0.00419,0.95734,0.87285,0.91674,0.67864,0.98533,0.49588,0.00659,0.000561055,0.000561055,0.000561055
52,286.653,0.70375,0.38931,0.00399,0.92777,0.89939,0.91129,0.6858,0.96129,0.45592,0.00657,0.000550056,0.000550056,0.000550056
53,291.894,0.74112,0.36932,0.00409,0.9466,0.91458,0.91744,0.6862,0.98843,0.44777,0.00678,0.000539057,0.000539057,0.000539057
54,297.355,0.72026,0.37972,0.00396,0.93687,0.92531,0.92347,0.68565,0.98002,0.44545,0.00666,0.000528058,0.000528058,0.000528058
55,302.671,0.74213,0.38362,0.00401,0.95635,0.90969,0.91829,0.68284,0.98111,0.44945,0.00668,0.000517059,0.000517059,0.000517059
56,307.897,0.72031,0.37956,0.00406,0.94932,0.9235,0.92056,0.68432,0.98442,0.44664,0.00655,0.00050606,0.00050606,0.00050606
57,313.288,0.75683,0.37725,0.00415,0.92381,0.86363,0.90806,0.67488,1.01566,0.51147,0.00736,0.000495062,0.000495062,0.000495062
58,318.566,0.73163,0.37678,0.00401,0.92552,0.87146,0.90508,0.66719,0.97937,0.50536,0.00656,0.000484063,0.000484063,0.000484063
59,324.094,0.72579,0.40086,0.00402,0.95156,0.90143,0.92048,0.68827,0.97816,0.44822,0.00687,0.000473064,0.000473064,0.000473064
60,329.321,0.72091,0.36514,0.00386,0.94125,0.91286,0.91813,0.68711,0.97648,0.44367,0.00656,0.000462065,0.000462065,0.000462065
61,334.649,0.71233,0.34551,0.00395,0.95479,0.92809,0.91999,0.69868,0.94289,0.40842,0.0064,0.000451066,0.000451066,0.000451066
